  x0:            y0:               g(mGal):
  0.5000000      0.5000000       1.055199      0.0000000E+00
   1.500000      0.5000000       1.427337      0.0000000E+00
   2.500000      0.5000000       1.878445      0.0000000E+00
   3.500000      0.5000000       2.329647      0.0000000E+00
   4.500000      0.5000000       2.627119      0.0000000E+00
   5.500000      0.5000000       2.627119      0.0000000E+00
   6.500000      0.5000000       2.329647      0.0000000E+00
   7.500000      0.5000000       1.878429      0.0000000E+00
   8.500000      0.5000000       1.427325      0.0000000E+00
   9.500000      0.5000000       1.055215      0.0000000E+00
  0.5000000       1.500000       1.427337      0.0000000E+00
   1.500000       1.500000       2.086321      0.0000000E+00
   2.500000       1.500000       3.007265      0.0000000E+00
   3.500000       1.500000       4.079309      0.0000000E+00
   4.500000       1.500000       4.874909      0.0000000E+00
   5.500000       1.500000       4.874889      0.0000000E+00
   6.500000       1.500000       4.079317      0.0000000E+00
   7.500000       1.500000       3.007281      0.0000000E+00
   8.500000       1.500000       2.086297      0.0000000E+00
   9.500000       1.500000       1.427292      0.0000000E+00
  0.5000000       2.500000       1.878447      0.0000000E+00
   1.500000       2.500000       3.007273      0.0000000E+00
   2.500000       2.500000       4.907526      0.0000000E+00
   3.500000       2.500000       7.707233      0.0000000E+00
   4.500000       2.500000       10.26332      0.0000000E+00
   5.500000       2.500000       10.26333      0.0000000E+00
   6.500000       2.500000       7.707245      0.0000000E+00
   7.500000       2.500000       4.907531      0.0000000E+00
   8.500000       2.500000       3.007305      0.0000000E+00
   9.500000       2.500000       1.878396      0.0000000E+00
  0.5000000       3.500000       2.329654      0.0000000E+00
   1.500000       3.500000       4.079313      0.0000000E+00
   2.500000       3.500000       7.707225      0.0000000E+00
   3.500000       3.500000       15.49187      0.0000000E+00
   4.500000       3.500000       26.67400      0.0000000E+00
   5.500000       3.500000       26.67402      0.0000000E+00
   6.500000       3.500000       15.49189      0.0000000E+00
   7.500000       3.500000       7.707245      0.0000000E+00
   8.500000       3.500000       4.079268      0.0000000E+00
   9.500000       3.500000       2.329745      0.0000000E+00
  0.5000000       4.500000       2.627119      0.0000000E+00
   1.500000       4.500000       4.874911      0.0000000E+00
   2.500000       4.500000       10.26332      0.0000000E+00
   3.500000       4.500000       26.67402      0.0000000E+00
   4.500000       4.500000       86.53890      0.0000000E+00
   5.500000       4.500000       86.53886      0.0000000E+00
   6.500000       4.500000       26.67401      0.0000000E+00
   7.500000       4.500000       10.26333      0.0000000E+00
   8.500000       4.500000       4.874946      0.0000000E+00
   9.500000       4.500000       2.627045      0.0000000E+00
  0.5000000       5.500000       2.627130      0.0000000E+00
   1.500000       5.500000       4.874909      0.0000000E+00
   2.500000       5.500000       10.26333      0.0000000E+00
   3.500000       5.500000       26.67400      0.0000000E+00
   4.500000       5.500000       86.53886      0.0000000E+00
   5.500000       5.500000       86.53887      0.0000000E+00
   6.500000       5.500000       26.67401      0.0000000E+00
   7.500000       5.500000       10.26335      0.0000000E+00
   8.500000       5.500000       4.874962      0.0000000E+00
   9.500000       5.500000       2.626997      0.0000000E+00
  0.5000000       6.500000       2.329636      0.0000000E+00
   1.500000       6.500000       4.079313      0.0000000E+00
   2.500000       6.500000       7.707245      0.0000000E+00
   3.500000       6.500000       15.49187      0.0000000E+00
   4.500000       6.500000       26.67398      0.0000000E+00
   5.500000       6.500000       26.67402      0.0000000E+00
   6.500000       6.500000       15.49187      0.0000000E+00
   7.500000       6.500000       7.707237      0.0000000E+00
   8.500000       6.500000       4.079236      0.0000000E+00
   9.500000       6.500000       2.329729      0.0000000E+00
  0.5000000       7.500000       1.878429      0.0000000E+00
   1.500000       7.500000       3.007287      0.0000000E+00
   2.500000       7.500000       4.907539      0.0000000E+00
   3.500000       7.500000       7.707253      0.0000000E+00
   4.500000       7.500000       10.26333      0.0000000E+00
   5.500000       7.500000       10.26335      0.0000000E+00
   6.500000       7.500000       7.707237      0.0000000E+00
   7.500000       7.500000       4.907498      0.0000000E+00
   8.500000       7.500000       3.007232      0.0000000E+00
   9.500000       7.500000       1.878380      0.0000000E+00
  0.5000000       8.500000       1.427319      0.0000000E+00
   1.500000       8.500000       2.086276      0.0000000E+00
   2.500000       8.500000       3.007281      0.0000000E+00
   3.500000       8.500000       4.079277      0.0000000E+00
   4.500000       8.500000       4.874979      0.0000000E+00
   5.500000       8.500000       4.874962      0.0000000E+00
   6.500000       8.500000       4.079252      0.0000000E+00
   7.500000       8.500000       3.007232      0.0000000E+00
   8.500000       8.500000       2.086297      0.0000000E+00
   9.500000       8.500000       1.427374      0.0000000E+00
  0.5000000       9.500000       1.055237      0.0000000E+00
   1.500000       9.500000       1.427333      0.0000000E+00
   2.500000       9.500000       1.878429      0.0000000E+00
   3.500000       9.500000       2.329745      0.0000000E+00
   4.500000       9.500000       2.627029      0.0000000E+00
   5.500000       9.500000       2.627029      0.0000000E+00
   6.500000       9.500000       2.329712      0.0000000E+00
   7.500000       9.500000       1.878413      0.0000000E+00
   8.500000       9.500000       1.427374      0.0000000E+00
   9.500000       9.500000       1.055247      0.0000000E+00
